offset,latA,latB,label
0xc180,307.5,282.0,1
0xc200,280.8,315.4,0
0xc280,280.5,315.3,0
0xc300,307.8,282.3,1
0xc380,307.4,282.2,1
0xc400,306.4,280.6,1
0xc480,306.3,280.8,1
0xc500,280.8,306.8,0
0xc580,280.6,306.9,0
0xc600,306.4,280.7,1
0xc680,306.2,280.9,1
0xc700,280.9,307.0,0
0xc780,280.6,306.9,0
0xc800,280.5,310.0,0
0xc880,280.5,310.0,0
0xc900,280.4,318.6,0
0xc980,280.4,318.4,0
0xca00,280.5,309.9,0
0xca80,280.5,310.0,0
0xcb00,280.5,318.5,0
0xcb80,280.5,318.5,0
0xcc00,306.2,280.6,1
0xcc80,306.0,280.6,1
0xcd00,308.1,282.4,1
0xcd80,308.0,282.1,1
0xce00,306.0,280.6,1
0xce80,306.0,280.6,1
0xcf00,308.1,282.3,1
0xcf80,308.0,282.1,1
0xd000,306.4,278.3,1
0xd080,306.2,277.9,1
0xd100,280.9,316.0,0
0xd180,280.8,315.8,0
0xd200,306.4,278.1,1
0xd280,306.4,278.0,1
0xd300,280.8,316.0,0
0xd380,280.7,315.8,0
0xd400,282.9,305.7,0
0xd480,282.6,305.9,0
0xd500,308.4,279.7,1
0xd580,308.4,279.7,1
0xd600,283.0,305.8,0
0xd680,282.8,305.9,0
0xd700,308.6,279.8,1
0xd780,308.6,279.8,1
0xd800,281.4,313.1,0
0xd880,281.4,312.9,0
0xd900,282.5,309.1,0
0xd980,282.5,309.0,0
0xda00,281.2,312.8,0
0xda80,281.2,312.7,0
0xdb00,282.6,309.3,0
0xdb80,282.6,309.2,0
0xdc00,306.7,278.2,1
0xdc80,306.6,278.1,1
0xdd00,308.3,279.7,1
0xdd80,308.0,279.5,1
0xde00,307.0,278.0,1
0xde80,306.7,278.0,1
0xdf00,308.2,279.5,1
0xdf80,308.1,279.4,1
0xe000,303.9,275.4,1
0xe080,303.8,275.5,1
0xe100,278.2,301.8,0
0xe180,278.1,301.6,0
0xe200,303.8,275.7,1
0xe280,303.5,275.5,1
0xe300,278.0,301.8,0
0xe380,278.0,301.8,0
0xe400,280.5,312.5,0
0xe480,280.5,312.5,0
0xe500,302.6,274.6,1
0xe580,302.6,274.3,1
0xe600,280.5,312.5,0
0xe680,280.5,312.3,0
0xe700,302.6,274.6,1
0xe780,302.4,274.5,1
0xe800,303.4,274.5,1
0xe880,303.4,274.3,1
0xe900,303.2,274.1,1
0xe980,302.9,274.1,1
0xea00,303.6,274.4,1
0xea80,303.4,274.5,1
0xeb00,303.1,274.0,1
0xeb80,303.0,274.2,1
0xec00,278.1,304.0,0
0xec80,278.0,304.0,0
0xed00,280.1,314.8,0
0xed80,280.1,314.7,0
0xee00,278.1,304.0,0
0xee80,278.0,304.0,0
0xef00,280.3,314.7,0
0xef80,280.2,314.5,0
0xf000,277.1,302.9,0
0xf080,276.9,302.8,0
0xf100,302.9,276.6,1
0xf180,302.7,276.6,1
0xf200,277.2,302.9,0
0xf280,276.8,302.7,0
0xf300,302.7,276.5,1
0xf380,302.8,276.5,1
0xf400,303.2,277.2,1
0xf480,302.9,276.9,1
0xf500,279.9,317.5,0
0xf580,279.8,317.5,0
0xf600,303.0,277.3,1
0xf680,302.9,277.0,1
0xf700,279.8,317.4,0
0xf780,279.6,317.3,0
0xf800,303.6,278.3,1
0xf880,303.3,278.3,1
0xf900,302.3,277.2,1
0xf980,302.1,277.1,1
0xfa00,303.3,278.2,1
0xfa80,303.3,278.2,1
0xfb00,302.3,277.1,1
0xfb80,302.0,277.1,1
0xfc00,280.1,315.0,0
0xfc80,280.0,314.8,0
0xfd00,276.6,306.3,0
0xfd80,276.6,306.4,0
0xfe00,280.2,315.1,0
0xfe80,280.0,315.1,0
0xff00,276.6,306.5,0
0xff80,276.7,306.3,0
0x10000,278.2,303.6,0
0x10080,278.0,303.7,0
0x10100,276.6,311.6,0
0x10180,276.6,311.4,0
0x10200,278.3,303.6,0
0x10280,278.2,303.7,0
0x10300,276.6,311.5,0
0x10380,276.6,311.3,0
0x10400,303.5,274.5,1
0x10480,303.4,274.3,1
0x10500,303.1,274.2,1
0x10580,303.1,274.1,1
0x10600,303.7,274.4,1
0x10680,303.5,274.5,1
0x10700,303.2,274.0,1
0x10780,303.0,273.9,1
0x10800,277.2,308.6,0
0x10880,277.1,308.3,0
0x10900,302.8,274.7,1
0x10980,302.5,274.5,1
0x10a00,277.3,308.6,0
0x10a80,277.2,308.5,0
0x10b00,302.7,274.6,1
0x10b80,302.6,274.5,1
0x10c00,303.8,276.0,1
0x10c80,303.7,275.9,1
0x10d00,278.2,302.1,0
0x10d80,277.9,302.1,0
0x10e00,303.9,276.0,1
0x10e80,303.8,276.1,1
0x10f00,278.0,302.1,0
0x10f80,278.0,302.1,0
0x11000,276.7,311.0,0
0x11080,276.6,311.0,0
0x11100,276.9,306.2,0
0x11180,276.6,306.4,0
0x11200,276.7,311.2,0
0x11280,276.6,310.9,0
0x11300,276.8,306.4,0
0x11380,276.7,306.5,0
0x11400,303.6,278.6,1
0x11480,303.3,278.5,1
0x11500,302.2,277.1,1
0x11580,302.1,277.1,1
0x11600,303.6,278.4,1
0x11680,303.2,278.5,1
0x11700,302.3,277.2,1
0x11780,302.2,277.2,1
0x11800,303.3,277.1,1
0x11880,303.1,277.1,1
0x11900,276.4,314.3,0
0x11980,276.2,314.2,0
0x11a00,303.2,277.1,1
0x11a80,303.0,277.0,1
0x11b00,276.3,314.3,0
0x11b80,276.3,314.2,0
