line,offset,latA,latB,label
511,0xff80,276.7,306.5,0
512,0x10000,278.2,303.7,0
513,0x10080,278.1,303.7,0
514,0x10100,276.8,311.6,0
515,0x10180,276.7,311.5,0
516,0x10200,278.1,303.8,0
517,0x10280,278.1,303.6,0
518,0x10300,276.8,311.5,0
519,0x10380,276.7,311.5,0
520,0x10400,303.7,274.5,1
521,0x10480,303.5,274.3,1
522,0x10500,303.0,274.2,1
523,0x10580,303.0,274.2,1
524,0x10600,303.6,274.5,1
525,0x10680,303.5,274.4,1
526,0x10700,303.0,274.1,1
527,0x10780,303.0,274.0,1
528,0x10800,277.3,308.6,0
529,0x10880,277.3,308.5,0
530,0x10900,302.5,274.6,1
531,0x10980,302.4,274.7,1
532,0x10a00,277.3,308.6,0
533,0x10a80,277.2,308.5,0
534,0x10b00,302.8,274.7,1
535,0x10b80,302.6,274.5,1
536,0x10c00,304.0,276.0,1
537,0x10c80,303.7,276.0,1
538,0x10d00,278.1,302.4,0
539,0x10d80,278.1,302.2,0
540,0x10e00,303.9,275.9,1
541,0x10e80,303.7,275.9,1
542,0x10f00,278.1,302.0,0
543,0x10f80,278.0,302.2,0
544,0x11000,276.9,311.0,0
545,0x11080,276.8,311.1,0
546,0x11100,276.6,306.5,0
547,0x11180,276.8,306.6,0
548,0x11200,276.7,311.1,0
549,0x11280,276.7,311.1,0
550,0x11300,276.7,306.3,0
551,0x11380,276.8,306.5,0
552,0x11400,303.5,278.7,1
553,0x11480,303.3,278.4,1
554,0x11500,302.3,277.3,1
555,0x11580,302.1,277.0,1
556,0x11600,303.4,278.4,1
557,0x11680,303.3,278.5,1
558,0x11700,302.2,277.1,1
559,0x11780,302.1,277.0,1
560,0x11800,303.1,277.0,1
561,0x11880,303.1,277.1,1
562,0x11900,276.4,314.1,0
563,0x11980,276.3,314.1,0
564,0x11a00,303.4,277.2,1
565,0x11a80,303.2,277.1,1
566,0x11b00,276.5,314.2,0
567,0x11b80,276.4,314.2,0
568,0x11c00,277.1,302.8,0
569,0x11c80,277.0,302.9,0
570,0x11d00,302.7,276.7,1
571,0x11d80,302.7,276.7,1
572,0x11e00,277.0,303.0,0
573,0x11e80,276.9,302.8,0
574,0x11f00,302.7,276.7,1
575,0x11f80,302.6,276.8,1
576,0x12000,303.7,278.5,1
577,0x12080,303.5,278.3,1
578,0x12100,304.2,278.7,1
579,0x12180,304.0,278.6,1
580,0x12200,303.7,278.5,1
581,0x12280,303.6,278.5,1
582,0x12300,304.4,278.6,1
583,0x12380,304.2,278.6,1
584,0x12400,278.2,308.0,0
585,0x12480,278.1,307.9,0
586,0x12500,277.1,315.4,0
587,0x12580,276.8,315.4,0
588,0x12600,278.0,307.7,0
589,0x12680,278.2,307.9,0
590,0x12700,277.1,315.3,0
591,0x12780,276.9,315.4,0
592,0x12800,304.1,278.2,1
593,0x12880,304.0,278.2,1
594,0x12900,278.6,304.6,0
595,0x12980,278.5,304.5,0
596,0x12a00,304.3,278.2,1
597,0x12a80,304.1,278.2,1
598,0x12b00,278.6,304.5,0
599,0x12b80,278.3,304.5,0
600,0x12c00,277.6,311.2,0
601,0x12c80,277.4,311.0,0
602,0x12d00,304.2,278.8,1
603,0x12d80,303.9,278.8,1
604,0x12e00,277.7,310.9,0
605,0x12e80,277.5,310.9,0
606,0x12f00,304.1,278.7,1
607,0x12f80,303.9,278.8,1
608,0x13000,304.5,275.6,1
609,0x13080,304.4,275.5,1
610,0x13100,304.4,276.2,1
611,0x13180,304.4,276.0,1
612,0x13200,304.7,275.6,1
613,0x13280,304.5,275.8,1
614,0x13300,304.4,276.1,1
615,0x13380,304.3,276.1,1
616,0x13400,278.0,308.5,0
617,0x13480,277.9,308.5,0
618,0x13500,278.9,305.5,0
619,0x13580,278.8,305.5,0
620,0x13600,278.0,308.2,0
621,0x13680,277.9,308.2,0
622,0x13700,278.8,305.4,0
623,0x13780,279.0,305.5,0
624,0x13800,279.1,302.2,0
625,0x13880,279.1,302.2,0
626,0x13900,305.0,276.1,1
627,0x13980,304.7,276.2,1
628,0x13a00,279.2,302.2,0
629,0x13a80,279.0,302.2,0
630,0x13b00,304.8,276.1,1
631,0x13b80,304.7,276.1,1
632,0x13c00,304.3,276.1,1
633,0x13c80,304.2,275.9,1
634,0x13d00,277.4,312.8,0
635,0x13d80,277.4,312.6,0
636,0x13e00,304.3,276.0,1
637,0x13e80,304.2,275.9,1
638,0x13f00,277.4,312.7,0
639,0x13f80,277.2,312.5,0
640,0x14000,280.4,314.6,0
641,0x14080,280.4,314.7,0
642,0x14100,303.7,275.1,1
643,0x14180,303.6,274.8,1
644,0x14200,280.6,314.8,0
645,0x14280,280.2,314.8,0
646,0x14300,303.7,275.0,1
647,0x14380,303.6,274.7,1
648,0x14400,303.1,274.4,1
649,0x14480,303.2,274.3,1
650,0x14500,277.6,300.5,0
651,0x14580,277.5,300.5,0
652,0x14600,303.3,274.2,1
653,0x14680,303.2,274.2,1
654,0x14700,277.5,300.3,0
655,0x14780,277.5,300.3,0
656,0x14800,277.4,304.0,0
657,0x14880,277.3,303.8,0
658,0x14900,281.0,312.6,0
659,0x14980,280.9,312.5,0
660,0x14a00,277.1,303.8,0
661,0x14a80,277.2,303.9,0
662,0x14b00,280.8,312.6,0
663,0x14b80,280.7,312.5,0
664,0x14c00,302.8,274.7,1
665,0x14c80,302.8,274.7,1
666,0x14d00,304.0,275.8,1
667,0x14d80,303.9,275.7,1
668,0x14e00,302.7,274.7,1
669,0x14e80,302.6,274.7,1
670,0x14f00,303.9,275.8,1
671,0x14f80,303.8,275.7,1
672,0x15000,302.4,277.5,1
673,0x15080,302.2,277.3,1
674,0x15100,280.6,315.0,0
675,0x15180,280.5,314.9,0
676,0x15200,302.4,277.2,1
677,0x15280,302.1,277.2,1
678,0x15300,280.4,315.1,0
679,0x15380,280.3,315.1,0
680,0x15400,277.8,304.6,0
681,0x15480,277.8,304.7,0
682,0x15500,303.5,278.4,1
683,0x15580,303.5,278.3,1
684,0x15600,277.9,304.5,0
685,0x15680,277.8,304.6,0
686,0x15700,303.5,278.3,1
687,0x15780,303.5,278.5,1
688,0x15800,280.2,317.4,0
689,0x15880,280.1,317.3,0
690,0x15900,278.0,306.7,0
691,0x15980,277.7,306.5,0
692,0x15a00,280.2,317.4,0
693,0x15a80,280.0,317.4,0
694,0x15b00,277.8,306.6,0
695,0x15b80,277.7,306.7,0
696,0x15c00,302.8,276.9,1
697,0x15c80,302.6,276.8,1
698,0x15d00,303.3,277.5,1
699,0x15d80,303.0,277.3,1
700,0x15e00,302.8,276.8,1
701,0x15e80,302.7,276.9,1
702,0x15f00,303.4,277.3,1
703,0x15f80,303.2,277.4,1
704,0x16000,308.4,282.5,1
705,0x16080,308.3,282.5,1
706,0x16100,282.5,308.8,0
707,0x16180,282.5,308.9,0
708,0x16200,308.3,282.6,1
709,0x16280,307.9,282.5,1
710,0x16300,282.7,308.8,0
711,0x16380,282.6,309.0,0
712,0x16400,281.2,318.5,0
713,0x16480,281.1,318.6,0
714,0x16500,306.2,281.1,1
715,0x16580,306.1,281.1,1
716,0x16600,281.1,318.6,0
717,0x16680,281.0,318.6,0
718,0x16700,306.2,281.1,1
719,0x16780,306.2,281.0,1
720,0x16800,307.9,282.8,1
721,0x16880,307.8,282.7,1
722,0x16900,306.6,281.1,1
723,0x16980,306.5,281.0,1
724,0x16a00,308.0,282.8,1
725,0x16a80,307.9,282.7,1
726,0x16b00,306.6,280.9,1
727,0x16b80,306.6,281.2,1
728,0x16c00,282.5,311.8,0
729,0x16c80,282.4,312.0,0
730,0x16d00,281.6,315.7,0
731,0x16d80,281.4,315.7,0
732,0x16e00,282.6,312.0,0
733,0x16e80,282.5,312.0,0
734,0x16f00,281.5,315.6,0
735,0x16f80,281.5,315.5,0
736,0x17000,281.3,304.5,0
737,0x17080,281.4,304.5,0
738,0x17100,307.1,278.3,1
739,0x17180,307.0,278.3,1
740,0x17200,281.4,304.5,0
741,0x17280,281.4,304.6,0
742,0x17300,307.2,278.4,1
743,0x17380,307.0,278.5,1
744,0x17400,308.3,280.1,1
745,0x17480,308.3,280.1,1
746,0x17500,281.8,313.0,0
747,0x17580,281.6,313.0,0
748,0x17600,308.2,280.5,1
749,0x17680,308.2,280.2,1
750,0x17700,281.8,312.9,0
751,0x17780,281.8,313.0,0
752,0x17800,308.8,280.4,1
753,0x17880,308.7,280.2,1
754,0x17900,306.8,278.5,1
755,0x17980,306.6,278.5,1
756,0x17a00,308.9,280.0,1
757,0x17a80,308.9,280.1,1
758,0x17b00,306.9,278.5,1
